# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.05233e-05 to 105.341 h/Mpc,
# number of wavenumbers equal to 132
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_m                    6:d_ur                   7:d_tot                  8:phi                    9:psi                
       7.034930696269e-01       1.771676042702e-03      -3.761727297447e+04      -3.780503170143e+04      -3.777605527022e+04       1.807548917888e-03      -3.776500601782e+04       4.044739360141e-03       4.044739360141e-03 
       7.556571849626e-01       1.580877220376e-03      -3.872815141111e+04      -3.892140308079e+04      -3.889157893461e+04       1.612886473360e-03      -3.888020339885e+04       3.609105072055e-03       3.609105072055e-03 
       8.244684816901e-01       1.374738197326e-03      -4.009037038486e+04      -4.029040505994e+04      -4.025953410597e+04       1.402573167707e-03      -4.024775845227e+04       3.138442758671e-03       3.138442758671e-03 
       9.233250051489e-01       1.144643879348e-03      -4.187553166824e+04      -4.208446112591e+04      -4.205221745778e+04       1.167825235794e-03      -4.203991745590e+04       2.613805636522e-03       2.613805636522e-03 
       1.079589821095e+00       8.872531880282e-04      -4.436528391832e+04      -4.458664753161e+04      -4.455248492489e+04       9.052180183018e-04      -4.453945361108e+04       2.025573247339e-03       2.025573247339e-03 
       1.328436831247e+00       6.301773372929e-04      -4.770990566060e+04      -4.794801747633e+04      -4.791127015275e+04       6.429365830251e-04      -4.789725641612e+04       1.438631122021e-03       1.438631122021e-03 
       1.669582444900e+00       4.300682709410e-04      -5.144335792555e+04      -5.170026222492e+04      -5.166061469462e+04       4.387779089985e-04      -5.164550429908e+04       9.820586222698e-04       9.820586222698e-04 
       2.101825860993e+00       2.915088911271e-04      -5.524553265279e+04      -5.552175081939e+04      -5.547912261830e+04       2.974109261019e-04      -5.546289533397e+04       6.654718733747e-04       6.654718733747e-04 
       2.646041785469e+00       1.967227231436e-04      -5.908464897796e+04      -5.938065366519e+04      -5.933497184965e+04       2.007054532495e-04      -5.931761675443e+04       4.490667780883e-04       4.490667780883e-04 
       3.331169244290e+00       1.322700683697e-04      -6.295367801172e+04      -6.327009663576e+04      -6.322126437788e+04       1.349475837876e-04      -6.320277256728e+04       3.019001742684e-04       3.019001742684e-04 
       4.193693612623e+00       8.861818915849e-05      -6.684813979473e+04      -6.718590321610e+04      -6.713377685803e+04       9.041208638408e-05      -6.711414066287e+04       2.022745609904e-04       2.022745609904e-04 
       5.279547458211e+00       5.919170099740e-05      -7.076326847510e+04      -7.112380724898e+04      -7.106816601598e+04       6.038986164002e-05      -7.104737903748e+04       1.351062048441e-04       1.351062048441e-04 
       6.646556457915e+00       3.942539848282e-05      -7.469357616133e+04      -7.507918172786e+04      -7.501967198652e+04       4.022337439075e-05      -7.499772921811e+04       8.998608292529e-05       8.998608292529e-05 
       8.367518825793e+00       2.619459172673e-05      -7.863476449431e+04      -7.904914287963e+04      -7.898519268630e+04       2.672465071054e-05      -7.896209002877e+04       5.977861772339e-05       5.977861772339e-05 
       1.053408208346e+01       1.735849543836e-05      -8.258257528140e+04      -8.303182382222e+04      -8.296249218704e+04       1.770972364516e-05      -8.293822619515e+04       3.961703565300e-05       3.961703565300e-05 
       1.326162362479e+01       1.147790616395e-05      -8.652995227033e+04      -8.702403841036e+04      -8.694778707752e+04       1.171010314486e-05      -8.692235541269e+04       2.619743187892e-05       2.619743187892e-05 
       1.669539498290e+01       7.576799253390e-06      -9.046514608695e+04      -9.102046072269e+04      -9.093476011771e+04       7.729969310494e-06      -9.090816228907e+04       1.728741716104e-05       1.728741716104e-05 
       2.101825700391e+01       4.992055089394e-06      -9.437550794032e+04      -9.501894792782e+04      -9.491964711229e+04       5.092875385475e-06      -9.489188373001e+04       1.138560994749e-05       1.138560994749e-05 
       2.646041785384e+01       3.284123171811e-06      -9.823840086917e+04      -9.901410207248e+04      -9.889438964616e+04       3.350340420563e-06      -9.886546367742e+04       7.484655936867e-06       7.484655936867e-06 
       3.331169244290e+01       2.157524119244e-06      -1.020190080253e+05      -1.029990989511e+05      -1.028478434648e+05       2.200912285457e-06      -1.028177611364e+05       4.911287708415e-06       4.911287708415e-06 
       4.193693612623e+01       1.415665801767e-06      -1.056612166573e+05      -1.069633263960e+05      -1.067623743858e+05       1.444019245413e-06      -1.067311470824e+05       3.216758153613e-06       3.216758153613e-06 
       5.279547458211e+01       9.280297506891e-07      -1.090748750482e+05      -1.108901400503e+05      -1.106099938073e+05       9.464976094610e-07      -1.105776411002e+05       2.102783470976e-06       2.102783470976e-06 
